Last module: decoder.final_layer_norm
Model Len: 219
Per-module activation-GB to execution-time throughput (GB/s):
decoder.layers.21.self_attn.k_proj, Linear: time=0.000013s, act=0.0234GB, throughput=1755.428571GB/s
decoder.layers.15.self_attn.q_proj, Linear: time=0.000014s, act=0.0234GB, throughput=1724.631579GB/s
decoder.layers.5.self_attn.k_proj, Linear: time=0.000014s, act=0.0234GB, throughput=1694.896552GB/s
decoder.layers.10.self_attn.q_proj, Linear: time=0.000014s, act=0.0234GB, throughput=1694.896552GB/s
decoder.layers.19.self_attn.q_proj, Linear: time=0.000014s, act=0.0234GB, throughput=1694.896552GB/s
decoder.layers.12.self_attn.q_proj, Linear: time=0.000014s, act=0.0234GB, throughput=1666.169492GB/s
decoder.layers.19.self_attn.out_proj, Linear: time=0.000053s, act=0.0864GB, throughput=1632.865287GB/s
decoder.layers.17.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1611.540984GB/s
decoder.layers.11.self_attn.out_proj, Linear: time=0.000054s, act=0.0864GB, throughput=1611.093750GB/s
decoder.layers.4.self_attn.k_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1585.548387GB/s
decoder.layers.11.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1585.548387GB/s
decoder.layers.6.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1560.380952GB/s
decoder.layers.8.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1560.380952GB/s
decoder.layers.18.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1560.380952GB/s
decoder.layers.20.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1560.380952GB/s
decoder.layers.5.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1536.000000GB/s
decoder.layers.13.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1536.000000GB/s
decoder.layers.9.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1512.369231GB/s
decoder.layers.21.self_attn.q_proj, Linear: time=0.000015s, act=0.0234GB, throughput=1512.369231GB/s
decoder.layers.8.self_attn.out_proj, Linear: time=0.000057s, act=0.0864GB, throughput=1510.400391GB/s
